wid,prompt,response
w8a97578,Breaking both legs in a car accident,10
w8a97578,Getting a flat tire on the way home from work,-7
w8a97578,Stubbing your toe,-10
w8a97578,Eating a spoonfull of rice,5
w8a97578,Finding a $20 bill on the street,-1
w8a97578,Free dinner with a friend at your favorite restaurant,0
w8a97578,Winning the lottery,7
w0b01e65,Breaking both legs in a car accident,10
w0b01e65,Getting a flat tire on the way home from work,-10
w0b01e65,Stubbing your toe,5
w0b01e65,Eating a spoonfull of rice,7
w0b01e65,Finding a $20 bill on the street,-7
w0b01e65,Free dinner with a friend at your favorite restaurant,2
w0b01e65,Winning the lottery,-4
w7fdaa32,Breaking both legs in a car accident,6
w7fdaa32,Getting a flat tire on the way home from work,9
w7fdaa32,Stubbing your toe,3
w7fdaa32,Eating a spoonfull of rice,-9
w7fdaa32,Finding a $20 bill on the street,-10
w7fdaa32,Free dinner with a friend at your favorite restaurant,-9
w7fdaa32,Winning the lottery,2
w461dcc1,Breaking both legs in a car accident,10
w461dcc1,Getting a flat tire on the way home from work,10
w461dcc1,Stubbing your toe,-10
w461dcc1,Eating a spoonfull of rice,10
w461dcc1,Finding a $20 bill on the street,-3
w461dcc1,Free dinner with a friend at your favorite restaurant,2
w461dcc1,Winning the lottery,-10
wc225bf4,Breaking both legs in a car accident,-10
wc225bf4,Getting a flat tire on the way home from work,-10
wc225bf4,Stubbing your toe,-5
wc225bf4,Eating a spoonfull of rice,10
wc225bf4,Finding a $20 bill on the street,10
wc225bf4,Free dinner with a friend at your favorite restaurant,5
wc225bf4,Winning the lottery,10
