wid,prompt,response
w30e4d79,Free dinner with a friend at your favorite restaurant,7
w30e4d79,Winning the lottery,10
w30e4d79,Breaking both legs in a car accident,-10
w30e4d79,Stubbing your toe,-2
w30e4d79,Finding a $5 bill on the street,2
w30e4d79,Getting a flat tire on the way home from work,-4
w30e4d79,Eating a spoonful of rice,0
w48a91d2,Finding a $5 bill on the street,7
w48a91d2,Stubbing your toe,-4
w48a91d2,Getting a flat tire on the way home from work,-7
w48a91d2,Winning the lottery,10
w48a91d2,Breaking both legs in a car accident,-10
w48a91d2,Free dinner with a friend at your favorite restaurant,4
w48a91d2,Eating a spoonful of rice,-1
we233074,Stubbing your toe,-5
we233074,Breaking both legs in a car accident,-10
we233074,Free dinner with a friend at your favorite restaurant,8
we233074,Getting a flat tire on the way home from work,-7
we233074,Eating a spoonful of rice,0
we233074,Winning the lottery,10
we233074,Finding a $5 bill on the street,4
w48d5501,Winning the lottery,10
w48d5501,Eating a spoonful of rice,1
w48d5501,Stubbing your toe,-2
w48d5501,Getting a flat tire on the way home from work,-8
w48d5501,Finding a $5 bill on the street,6
w48d5501,Breaking both legs in a car accident,-10
w48d5501,Free dinner with a friend at your favorite restaurant,5
w2604590,Free dinner with a friend at your favorite restaurant,10
w2604590,Eating a spoonful of rice,10
w2604590,Stubbing your toe,-10
w2604590,Winning the lottery,10
w2604590,Breaking both legs in a car accident,-10
w2604590,Finding a $5 bill on the street,10
w2604590,Getting a flat tire on the way home from work,-10
w1457384,Stubbing your toe,-10
w1457384,Winning the lottery,10
w1457384,Free dinner with a friend at your favorite restaurant,8
w1457384,Finding a $5 bill on the street,6
w1457384,Breaking both legs in a car accident,-10
w1457384,Getting a flat tire on the way home from work,-10
w1457384,Eating a spoonful of rice,5
w5583b8c,Eating a spoonful of rice,3
w5583b8c,Getting a flat tire on the way home from work,-5
w5583b8c,Breaking both legs in a car accident,-10
w5583b8c,Finding a $5 bill on the street,2
w5583b8c,Free dinner with a friend at your favorite restaurant,4
w5583b8c,Stubbing your toe,-2
w5583b8c,Winning the lottery,7
w2d683b3,Finding a $5 bill on the street,7
w2d683b3,Free dinner with a friend at your favorite restaurant,9
w2d683b3,Eating a spoonful of rice,-3
w2d683b3,Breaking both legs in a car accident,-10
w2d683b3,Getting a flat tire on the way home from work,-10
w2d683b3,Stubbing your toe,-10
w2d683b3,Winning the lottery,10
w249af6e,Getting a flat tire on the way home from work,-3
w249af6e,Breaking both legs in a car accident,-10
w249af6e,Finding a $5 bill on the street,3
w249af6e,Eating a spoonful of rice,1
w249af6e,Winning the lottery,10
w249af6e,Free dinner with a friend at your favorite restaurant,10
w249af6e,Stubbing your toe,-1
wc4421c1,Free dinner with a friend at your favorite restaurant,8
wc4421c1,Eating a spoonful of rice,3
wc4421c1,Getting a flat tire on the way home from work,-7
wc4421c1,Finding a $5 bill on the street,8
wc4421c1,Stubbing your toe,-6
wc4421c1,Winning the lottery,10
wc4421c1,Breaking both legs in a car accident,-10
w10b0762,Stubbing your toe,-8
w10b0762,Breaking both legs in a car accident,-10
w10b0762,Free dinner with a friend at your favorite restaurant,10
w10b0762,Winning the lottery,0
w10b0762,Getting a flat tire on the way home from work,0
w10b0762,Finding a $5 bill on the street,10
w10b0762,Eating a spoonful of rice,0
wc60255e,Free dinner with a friend at your favorite restaurant,7
wc60255e,Stubbing your toe,-3
wc60255e,Winning the lottery,10
wc60255e,Eating a spoonful of rice,0
wc60255e,Breaking both legs in a car accident,-10
wc60255e,Finding a $5 bill on the street,5
wc60255e,Getting a flat tire on the way home from work,-7
w05d7827,Breaking both legs in a car accident,-10
w05d7827,Eating a spoonful of rice,10
w05d7827,Getting a flat tire on the way home from work,-8
w05d7827,Stubbing your toe,-6
w05d7827,Winning the lottery,8
w05d7827,Finding a $5 bill on the street,5
w05d7827,Free dinner with a friend at your favorite restaurant,10
w742b609,Finding a $5 bill on the street,3
w742b609,Eating a spoonful of rice,0
w742b609,Stubbing your toe,-5
w742b609,Getting a flat tire on the way home from work,-7
w742b609,Free dinner with a friend at your favorite restaurant,6
w742b609,Breaking both legs in a car accident,-9
w742b609,Winning the lottery,10
w4adeb35,Finding a $5 bill on the street,6
w4adeb35,Getting a flat tire on the way home from work,-8
w4adeb35,Eating a spoonful of rice,1
w4adeb35,Winning the lottery,10
w4adeb35,Free dinner with a friend at your favorite restaurant,8
w4adeb35,Breaking both legs in a car accident,-10
w4adeb35,Stubbing your toe,-5
we2cb1a7,Getting a flat tire on the way home from work,-4
we2cb1a7,Breaking both legs in a car accident,-10
we2cb1a7,Winning the lottery,10
we2cb1a7,Eating a spoonful of rice,0
we2cb1a7,Finding a $5 bill on the street,2
we2cb1a7,Stubbing your toe,-1
we2cb1a7,Free dinner with a friend at your favorite restaurant,4
w6064204,Eating a spoonful of rice,6
w6064204,Stubbing your toe,-6
w6064204,Breaking both legs in a car accident,-10
w6064204,Winning the lottery,9
w6064204,Finding a $5 bill on the street,2
w6064204,Getting a flat tire on the way home from work,-9
w6064204,Free dinner with a friend at your favorite restaurant,4
w3b24acf,Winning the lottery,10
w3b24acf,Free dinner with a friend at your favorite restaurant,4
w3b24acf,Stubbing your toe,-8
w3b24acf,Getting a flat tire on the way home from work,-8
w3b24acf,Eating a spoonful of rice,0
w3b24acf,Finding a $5 bill on the street,1
w3b24acf,Breaking both legs in a car accident,-10
w5c211bd,Getting a flat tire on the way home from work,-4
w5c211bd,Stubbing your toe,-1
w5c211bd,Breaking both legs in a car accident,-8
w5c211bd,Free dinner with a friend at your favorite restaurant,1
w5c211bd,Finding a $5 bill on the street,1
w5c211bd,Eating a spoonful of rice,0
w5c211bd,Winning the lottery,7
w929f666,Finding a $5 bill on the street,8
w929f666,Free dinner with a friend at your favorite restaurant,5
w929f666,Eating a spoonful of rice,0
w929f666,Breaking both legs in a car accident,-10
w929f666,Getting a flat tire on the way home from work,-6
w929f666,Winning the lottery,6
w929f666,Stubbing your toe,-6
we35b20b,Breaking both legs in a car accident,-9
we35b20b,Getting a flat tire on the way home from work,-5
we35b20b,Stubbing your toe,-2
we35b20b,Eating a spoonful of rice,1
we35b20b,Finding a $5 bill on the street,4
we35b20b,Free dinner with a friend at your favorite restaurant,5
we35b20b,Winning the lottery,9
w746a5a4,Finding a $5 bill on the street,7
w746a5a4,Stubbing your toe,-10
w746a5a4,Free dinner with a friend at your favorite restaurant,10
w746a5a4,Winning the lottery,10
w746a5a4,Eating a spoonful of rice,-10
w746a5a4,Getting a flat tire on the way home from work,-10
w746a5a4,Breaking both legs in a car accident,-10
w5a2fc5c,Winning the lottery,10
w5a2fc5c,Eating a spoonful of rice,10
w5a2fc5c,Breaking both legs in a car accident,-10
w5a2fc5c,Stubbing your toe,-10
w5a2fc5c,Finding a $5 bill on the street,10
w5a2fc5c,Getting a flat tire on the way home from work,-10
w5a2fc5c,Free dinner with a friend at your favorite restaurant,10
w5db6967,Eating a spoonful of rice,0
w5db6967,Free dinner with a friend at your favorite restaurant,6
w5db6967,Stubbing your toe,-10
w5db6967,Winning the lottery,10
w5db6967,Getting a flat tire on the way home from work,-10
w5db6967,Breaking both legs in a car accident,-10
w5db6967,Finding a $5 bill on the street,2
w586fb99,Stubbing your toe,-8
w586fb99,Finding a $5 bill on the street,6
w586fb99,Eating a spoonful of rice,6
w586fb99,Getting a flat tire on the way home from work,-8
w586fb99,Winning the lottery,10
w586fb99,Breaking both legs in a car accident,-10
w586fb99,Free dinner with a friend at your favorite restaurant,7
w0a1a42b,Breaking both legs in a car accident,-8
w0a1a42b,Free dinner with a friend at your favorite restaurant,4
w0a1a42b,Stubbing your toe,-1
w0a1a42b,Getting a flat tire on the way home from work,-4
w0a1a42b,Finding a $5 bill on the street,2
w0a1a42b,Eating a spoonful of rice,1
w0a1a42b,Winning the lottery,10
wdec960e,Free dinner with a friend at your favorite restaurant,10
wdec960e,Finding a $5 bill on the street,7
wdec960e,Winning the lottery,10
wdec960e,Eating a spoonful of rice,3
wdec960e,Breaking both legs in a car accident,-10
wdec960e,Getting a flat tire on the way home from work,-9
wdec960e,Stubbing your toe,-3
weaed102,Free dinner with a friend at your favorite restaurant,10
weaed102,Winning the lottery,10
weaed102,Breaking both legs in a car accident,-10
weaed102,Getting a flat tire on the way home from work,-10
weaed102,Eating a spoonful of rice,5
weaed102,Stubbing your toe,-7
weaed102,Finding a $5 bill on the street,4
wee34aac,Winning the lottery,2
wee34aac,Getting a flat tire on the way home from work,-7
wee34aac,Eating a spoonful of rice,1
wee34aac,Free dinner with a friend at your favorite restaurant,5
wee34aac,Stubbing your toe,-6
wee34aac,Finding a $5 bill on the street,3
wee34aac,Breaking both legs in a car accident,-10
w6671f48,Stubbing your toe,-6
w6671f48,Free dinner with a friend at your favorite restaurant,8
w6671f48,Finding a $5 bill on the street,7
w6671f48,Breaking both legs in a car accident,-9
w6671f48,Eating a spoonful of rice,1
w6671f48,Getting a flat tire on the way home from work,-6
w6671f48,Winning the lottery,10
wa60c627,Breaking both legs in a car accident,-10
wa60c627,Eating a spoonful of rice,3
wa60c627,Stubbing your toe,-4
wa60c627,Winning the lottery,9
wa60c627,Getting a flat tire on the way home from work,-8
wa60c627,Free dinner with a friend at your favorite restaurant,10
wa60c627,Finding a $5 bill on the street,6
wcf9ea93,Breaking both legs in a car accident,-7
wcf9ea93,Eating a spoonful of rice,6
wcf9ea93,Winning the lottery,6
wcf9ea93,Getting a flat tire on the way home from work,-6
wcf9ea93,Free dinner with a friend at your favorite restaurant,10
wcf9ea93,Stubbing your toe,-1
wcf9ea93,Finding a $5 bill on the street,10
w90e83d9,Finding a $5 bill on the street,2
w90e83d9,Winning the lottery,6
w90e83d9,Free dinner with a friend at your favorite restaurant,0
w90e83d9,Getting a flat tire on the way home from work,-5
w90e83d9,Eating a spoonful of rice,0
w90e83d9,Breaking both legs in a car accident,-10
w90e83d9,Stubbing your toe,-3
wcdf423f,Breaking both legs in a car accident,-8
wcdf423f,Finding a $5 bill on the street,3
wcdf423f,Getting a flat tire on the way home from work,-3
wcdf423f,Free dinner with a friend at your favorite restaurant,6
wcdf423f,Stubbing your toe,-1
wcdf423f,Winning the lottery,7
wcdf423f,Eating a spoonful of rice,0
wbd652ae,Breaking both legs in a car accident,-9
wbd652ae,Finding a $5 bill on the street,5
wbd652ae,Free dinner with a friend at your favorite restaurant,9
wbd652ae,Eating a spoonful of rice,-2
wbd652ae,Stubbing your toe,-3
wbd652ae,Getting a flat tire on the way home from work,-4
wbd652ae,Winning the lottery,9
wdb2eb84,Winning the lottery,10
wdb2eb84,Finding a $5 bill on the street,4
wdb2eb84,Free dinner with a friend at your favorite restaurant,6
wdb2eb84,Getting a flat tire on the way home from work,-7
wdb2eb84,Breaking both legs in a car accident,-10
wdb2eb84,Eating a spoonful of rice,0
wdb2eb84,Stubbing your toe,-6
w0bfdae2,Free dinner with a friend at your favorite restaurant,5
w0bfdae2,Winning the lottery,10
w0bfdae2,Breaking both legs in a car accident,-10
w0bfdae2,Eating a spoonful of rice,0
w0bfdae2,Finding a $5 bill on the street,2
w0bfdae2,Getting a flat tire on the way home from work,-3
w0bfdae2,Stubbing your toe,-5
wbcbd794,Free dinner with a friend at your favorite restaurant,1
wbcbd794,Finding a $5 bill on the street,0
wbcbd794,Breaking both legs in a car accident,-10
wbcbd794,Stubbing your toe,-2
wbcbd794,Eating a spoonful of rice,4
wbcbd794,Winning the lottery,10
wbcbd794,Getting a flat tire on the way home from work,-7
w2b2aadf,Getting a flat tire on the way home from work,-10
w2b2aadf,Eating a spoonful of rice,2
w2b2aadf,Winning the lottery,10
w2b2aadf,Free dinner with a friend at your favorite restaurant,6
w2b2aadf,Breaking both legs in a car accident,-10
w2b2aadf,Finding a $5 bill on the street,4
w2b2aadf,Stubbing your toe,-5
we4167b8,Eating a spoonful of rice,10
we4167b8,Getting a flat tire on the way home from work,-10
we4167b8,Breaking both legs in a car accident,-10
we4167b8,Finding a $5 bill on the street,10
we4167b8,Stubbing your toe,-7
we4167b8,Free dinner with a friend at your favorite restaurant,10
we4167b8,Winning the lottery,10
w1753057,Eating a spoonful of rice,2
w1753057,Finding a $5 bill on the street,9
w1753057,Breaking both legs in a car accident,-10
w1753057,Free dinner with a friend at your favorite restaurant,9
w1753057,Getting a flat tire on the way home from work,-7
w1753057,Winning the lottery,10
w1753057,Stubbing your toe,-9
w0efa1aa,Stubbing your toe,-8
w0efa1aa,Finding a $5 bill on the street,5
w0efa1aa,Eating a spoonful of rice,7
w0efa1aa,Free dinner with a friend at your favorite restaurant,7
w0efa1aa,Getting a flat tire on the way home from work,-8
w0efa1aa,Breaking both legs in a car accident,-10
w0efa1aa,Winning the lottery,10
wa415fe1,Getting a flat tire on the way home from work,-6
wa415fe1,Breaking both legs in a car accident,-8
wa415fe1,Winning the lottery,10
wa415fe1,Free dinner with a friend at your favorite restaurant,7
wa415fe1,Stubbing your toe,-2
wa415fe1,Finding a $5 bill on the street,3
wa415fe1,Eating a spoonful of rice,0
w08039ca,Eating a spoonful of rice,1
w08039ca,Stubbing your toe,-2
w08039ca,Free dinner with a friend at your favorite restaurant,4
w08039ca,Finding a $5 bill on the street,2
w08039ca,Breaking both legs in a car accident,-10
w08039ca,Getting a flat tire on the way home from work,-5
w08039ca,Winning the lottery,10
w84e122a,Free dinner with a friend at your favorite restaurant,7
w84e122a,Getting a flat tire on the way home from work,-5
w84e122a,Breaking both legs in a car accident,-10
w84e122a,Eating a spoonful of rice,1
w84e122a,Winning the lottery,10
w84e122a,Finding a $5 bill on the street,3
w84e122a,Stubbing your toe,-2
wc9ca823,Winning the lottery,5
wc9ca823,Stubbing your toe,-10
wc9ca823,Finding a $5 bill on the street,2
wc9ca823,Breaking both legs in a car accident,-10
wc9ca823,Getting a flat tire on the way home from work,-4
wc9ca823,Free dinner with a friend at your favorite restaurant,10
wc9ca823,Eating a spoonful of rice,4
