wid,prompt,response
we14a8c0,Finding a $20 bill on the street,6
we14a8c0,Free dinner with a friend at your favorite restaurant,7
we14a8c0,Breaking both legs in a car accident,-10
we14a8c0,Getting a flat tire on the way home from work,-7
we14a8c0,Stubbing your toe,-5
we14a8c0,Eating a spoonfull of rice,0
we14a8c0,Winning the lottery,10
wa75c289,Eating a spoonfull of rice,0
wa75c289,Stubbing your toe,-6
wa75c289,Winning the lottery,7
wa75c289,Breaking both legs in a car accident,-10
wa75c289,Finding a $20 bill on the street,2
wa75c289,Getting a flat tire on the way home from work,-5
wa75c289,Free dinner with a friend at your favorite restaurant,8
w8317a27,Stubbing your toe,-2
w8317a27,Breaking both legs in a car accident,-10
w8317a27,Eating a spoonfull of rice,2
w8317a27,Finding a $20 bill on the street,4
w8317a27,Winning the lottery,9
w8317a27,Getting a flat tire on the way home from work,-4
w8317a27,Free dinner with a friend at your favorite restaurant,6
w808d687,Breaking both legs in a car accident,-10
w808d687,Getting a flat tire on the way home from work,-4
w808d687,Stubbing your toe,-1
w808d687,Eating a spoonfull of rice,0
w808d687,Winning the lottery,10
w808d687,Free dinner with a friend at your favorite restaurant,5
w808d687,Finding a $20 bill on the street,2
w3926020,Winning the lottery,7
w3926020,Free dinner with a friend at your favorite restaurant,10
w3926020,Breaking both legs in a car accident,-10
w3926020,Getting a flat tire on the way home from work,-10
w3926020,Eating a spoonfull of rice,0
w3926020,Finding a $20 bill on the street,8
w3926020,Stubbing your toe,-7
w298bce8,Breaking both legs in a car accident,-10
w298bce8,Eating a spoonfull of rice,2
w298bce8,Getting a flat tire on the way home from work,-7
w298bce8,Finding a $20 bill on the street,7
w298bce8,Stubbing your toe,-3
w298bce8,Winning the lottery,10
w298bce8,Free dinner with a friend at your favorite restaurant,8
w41b239a,Breaking both legs in a car accident,-10
w41b239a,Winning the lottery,10
w41b239a,Eating a spoonfull of rice,0
w41b239a,Free dinner with a friend at your favorite restaurant,3
w41b239a,Getting a flat tire on the way home from work,-4
w41b239a,Stubbing your toe,-1
w41b239a,Finding a $20 bill on the street,1
w84ce833,Winning the lottery,10
w84ce833,Getting a flat tire on the way home from work,-8
w84ce833,Eating a spoonfull of rice,-4
w84ce833,Stubbing your toe,-8
w84ce833,Breaking both legs in a car accident,-10
w84ce833,Finding a $20 bill on the street,3
w84ce833,Free dinner with a friend at your favorite restaurant,3
w4fdf442,Finding a $20 bill on the street,6
