wid,prompt,response
w6b779b8,Breaking both legs in a car accident,-10
w6b779b8,Free dinner with a friend at your favorite restaurant,10
w6b779b8,Stubbing your toe,-6
w6b779b8,Finding a $20 bill on the street,10
w6b779b8,Eating a spoonful of rice,0
w6b779b8,Getting a flat tire on the way home from work,-4
w6b779b8,Winning the lottery,10
w70c35b2,Free dinner with a friend at your favorite restaurant,5
w70c35b2,Winning the lottery,10
w70c35b2,Getting a flat tire on the way home from work,-6
w70c35b2,Breaking both legs in a car accident,-9
w70c35b2,Finding a $20 bill on the street,4
w70c35b2,Eating a spoonful of rice,1
w70c35b2,Stubbing your toe,-1
wf9fb041,Free dinner with a friend at your favorite restaurant,10
wf9fb041,Eating a spoonful of rice,0
wf9fb041,Getting a flat tire on the way home from work,-10
wf9fb041,Breaking both legs in a car accident,-10
wf9fb041,Winning the lottery,10
wf9fb041,Stubbing your toe,-10
wf9fb041,Finding a $20 bill on the street,10
wb86fb31,Stubbing your toe,-10
wb86fb31,Free dinner with a friend at your favorite restaurant,10
wb86fb31,Breaking both legs in a car accident,-10
wb86fb31,Getting a flat tire on the way home from work,-9
wb86fb31,Winning the lottery,6
wb86fb31,Finding a $20 bill on the street,4
wb86fb31,Eating a spoonful of rice,-6
w226838c,Stubbing your toe,-3
w226838c,Getting a flat tire on the way home from work,-5
w226838c,Breaking both legs in a car accident,-7
w226838c,Winning the lottery,7
w226838c,Eating a spoonful of rice,0
w226838c,Free dinner with a friend at your favorite restaurant,4
w226838c,Finding a $20 bill on the street,2
w46575fe,Stubbing your toe,-7
w46575fe,Getting a flat tire on the way home from work,-8
w46575fe,Free dinner with a friend at your favorite restaurant,9
w46575fe,Eating a spoonful of rice,0
w46575fe,Winning the lottery,10
w46575fe,Breaking both legs in a car accident,-9
w46575fe,Finding a $20 bill on the street,3
w15c6738,Breaking both legs in a car accident,-8
w15c6738,Getting a flat tire on the way home from work,-5
w15c6738,Eating a spoonful of rice,1
w15c6738,Winning the lottery,10
w15c6738,Finding a $20 bill on the street,3
w15c6738,Free dinner with a friend at your favorite restaurant,6
w15c6738,Stubbing your toe,-3
w2965545,Finding a $20 bill on the street,7
w2965545,Eating a spoonful of rice,1
w2965545,Stubbing your toe,-3
w2965545,Winning the lottery,10
w2965545,Breaking both legs in a car accident,-10
w2965545,Getting a flat tire on the way home from work,-7
w2965545,Free dinner with a friend at your favorite restaurant,7
waa2e2d5,Free dinner with a friend at your favorite restaurant,8
waa2e2d5,Getting a flat tire on the way home from work,-7
waa2e2d5,Finding a $20 bill on the street,5
waa2e2d5,Stubbing your toe,-3
waa2e2d5,Eating a spoonful of rice,0
waa2e2d5,Breaking both legs in a car accident,-10
waa2e2d5,Winning the lottery,10
we2eddb5,Free dinner with a friend at your favorite restaurant,5
we2eddb5,Getting a flat tire on the way home from work,-4
we2eddb5,Breaking both legs in a car accident,-7
we2eddb5,Winning the lottery,9
we2eddb5,Eating a spoonful of rice,1
we2eddb5,Stubbing your toe,-1
we2eddb5,Finding a $20 bill on the street,3
w8d504ac,Breaking both legs in a car accident,-10
w8d504ac,Stubbing your toe,-8
w8d504ac,Eating a spoonful of rice,5
w8d504ac,Winning the lottery,10
w8d504ac,Free dinner with a friend at your favorite restaurant,10
w8d504ac,Finding a $20 bill on the street,5
w8d504ac,Getting a flat tire on the way home from work,-9
w20f04e4,Eating a spoonful of rice,6
w20f04e4,Winning the lottery,6
w20f04e4,Finding a $20 bill on the street,10
w20f04e4,Breaking both legs in a car accident,-10
w20f04e4,Getting a flat tire on the way home from work,-6
