wid,prompt,response
w69e0b53,Winning the lottery,10
w69e0b53,Eating a spoonfull of rice,2
w69e0b53,Free dinner with a friend at your favorite restaurant,6
w69e0b53,Finding a $20 bill on the street,4
w69e0b53,Getting a flat tire on the way home from work,-6
w69e0b53,Breaking both legs in a car accident,-10
w69e0b53,Stubbing your toe,-3
w7844135,Winning the lottery,0
w7844135,Stubbing your toe,-5
w7844135,Eating a spoonfull of rice,4
w7844135,Free dinner with a friend at your favorite restaurant,10
w7844135,Getting a flat tire on the way home from work,-7
w7844135,Breaking both legs in a car accident,-10
w7844135,Finding a $20 bill on the street,5
w721d930,Winning the lottery,8
w721d930,Stubbing your toe,-7
w721d930,Finding a $20 bill on the street,8
w721d930,Eating a spoonfull of rice,4
w721d930,Free dinner with a friend at your favorite restaurant,7
w721d930,Breaking both legs in a car accident,-9
w721d930,Getting a flat tire on the way home from work,-6
we40e3da,Eating a spoonfull of rice,1
we40e3da,Breaking both legs in a car accident,-10
we40e3da,Getting a flat tire on the way home from work,-5
we40e3da,Free dinner with a friend at your favorite restaurant,7
we40e3da,Winning the lottery,9
we40e3da,Finding a $20 bill on the street,4
we40e3da,Stubbing your toe,-2
w3da6289,Finding a $20 bill on the street,10
w3da6289,Eating a spoonfull of rice,5
w3da6289,Breaking both legs in a car accident,-10
w3da6289,Stubbing your toe,-2
w3da6289,Free dinner with a friend at your favorite restaurant,5
w3da6289,Getting a flat tire on the way home from work,-4
w3da6289,Winning the lottery,9
wa7e71ea,Finding a $20 bill on the street,10
wa7e71ea,Free dinner with a friend at your favorite restaurant,10
wa7e71ea,Breaking both legs in a car accident,-10
wa7e71ea,Getting a flat tire on the way home from work,-10
wa7e71ea,Stubbing your toe,-5
wa7e71ea,Winning the lottery,10
wa7e71ea,Eating a spoonfull of rice,0
w2e87b5f,Breaking both legs in a car accident,-8
w2e87b5f,Winning the lottery,10
w2e87b5f,Eating a spoonfull of rice,2
w2e87b5f,Getting a flat tire on the way home from work,-6
w2e87b5f,Finding a $20 bill on the street,10
w2e87b5f,Stubbing your toe,-2
w2e87b5f,Free dinner with a friend at your favorite restaurant,5
wa63e05b,Finding a $20 bill on the street,7
wa63e05b,Stubbing your toe,-5
wa63e05b,Breaking both legs in a car accident,-10
wa63e05b,Eating a spoonfull of rice,2
wa63e05b,Free dinner with a friend at your favorite restaurant,6
wa63e05b,Getting a flat tire on the way home from work,-5
wa63e05b,Winning the lottery,10
w885d3b1,Getting a flat tire on the way home from work,-3
w885d3b1,Breaking both legs in a car accident,-10
w885d3b1,Stubbing your toe,-1
w885d3b1,Eating a spoonfull of rice,7
w885d3b1,Free dinner with a friend at your favorite restaurant,9
w885d3b1,Winning the lottery,10
w885d3b1,Finding a $20 bill on the street,5
w7c6b38f,Stubbing your toe,-3
w7c6b38f,Finding a $20 bill on the street,8
w7c6b38f,Getting a flat tire on the way home from work,-6
w7c6b38f,Winning the lottery,10
w7c6b38f,Breaking both legs in a car accident,-10
w7c6b38f,Free dinner with a friend at your favorite restaurant,5
w7c6b38f,Eating a spoonfull of rice,1
